기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20233,A,골목상권,3110582,이대역 5번,CS300018,의약품,602390279,33727,514246136,88144143,137855463,104912212,111282164,65832135,94364162,88144143,0,0,100386051,191338801,181527465,126280955,2857007,286323335,316066944,2713264,45005857,38568437,68589394,145908114,301605213,29275,4452,7501,5662,6035,4856,5221,4452,0,0,6152,9846,9211,8187,331,12716,21011,492,7089,4674,4160,7068,10244
20233,A,골목상권,3110582,이대역 5번,CS300022,화장품,34314706,16,34314706,0,0,34314706,0,0,0,0,0,0,0,0,0,34314706,0,34314706,0,0,0,0,34314706,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,16,0,0
20233,A,골목상권,3110582,이대역 5번,CS300028,화초,66338411,2273,45687937,20650474,15453273,3201317,10493206,7074517,9465624,20650474,0,0,14267600,21124743,14979004,15967064,0,20749280,37684643,0,4189379,11777686,14761630,11184850,16520379,1563,710,257,218,434,258,396,710,0,0,436,652,533,652,0,711,1443,0,396,514,573,316,356
20233,D,발달상권,3120093,연희동,CS100001,한식음식점,8378487878,243657,5340205110,3038282768,804970800,1121442283,1156976890,1104282876,1152532261,1646248748,1392034020,337013410,53494575,2905538275,1094997708,2992571256,994872654,4097171992,3152561797,16024948,925181894,1645976750,1442995731,1695729979,1523824477,160902,82755,23545,35310,35979,32434,33634,44395,38360,5014,1914,95511,40236,84316,16666,122798,99123,738,30563,49919,42728,51508,46465
20233,D,발달상권,3120093,연희동,CS100002,중식음식점,1595153771,23305,934550045,660603726,139947972,166794130,195573841,209939371,222294731,338082951,322520775,2901509,1738618,421267835,265033651,784635818,119576340,781001775,528219942,814861,146582590,338840321,291365209,294975121,236643615,14582,8723,2807,2134,3284,3170,3187,4429,4294,30,8,8174,4079,10073,941,12071,8640,43,2983,5358,4636,4368,3321
20233,D,발달상권,3120093,연희동,CS100003,일식음식점,344606086,8201,214928981,129677105,39242695,36122767,42514292,38923084,58126143,77247200,52429905,10830785,0,80580639,37457870,160195675,55541117,155775999,152056945,3114000,103853198,71431658,54196928,54694524,20542637,5248,2953,1089,945,996,1018,1200,1732,1221,124,0,2498,1113,3765,701,3225,4483,101,3058,1867,1182,1175,325
20233,D,발달상권,3120093,연희동,CS100004,양식음식점,1061264713,19415,702713439,358551274,105830889,135782109,162024678,133650946,165424817,205235184,153316090,32450754,0,246952969,104616254,428738252,248506484,379402143,499923922,832570,242484539,240862418,159162428,140714735,95269375,12599,6816,2140,1932,2933,2678,2916,3664,3152,496,0,6019,2540,7204,3156,7555,9792,33,5080,4498,3300,2769,1662
20233,D,발달상권,3120093,연희동,CS100005,제과점,199935707,13371,111844097,88091610,17003613,17582261,21658167,26886343,28713713,51094046,36997564,0,6999379,47078946,86630154,57222679,2004549,49230763,144621965,692717,81437140,53870270,25043425,21738613,11070564,8011,5360,1277,1345,1570,1880,1939,3436,1924,0,818,3029,5046,4219,259,3773,9385,51,5200,3539,1911,1554,903
20233,D,발달상권,3120093,연희동,CS100006,패스트푸드점,438879565,36074,303207105,135672460,46378228,66507603,66487197,66916909,56917168,76606468,59065992,555185,19817052,120110006,83869481,177409647,37118194,235092570,171330878,5899475,108332255,101092100,66230823,78186369,46682425,25256,10818,4415,5352,5290,5301,4898,5864,4954,51,1994,10390,6973,13723,2943,19806,14982,673,10632,9364,5192,5860,3069
20233,D,발달상권,3120093,연희동,CS100007,치킨전문점,215542590,4017,132410941,83131649,10792713,22279197,25681782,36876318,36780931,52678897,30452752,22609567,0,6772049,3421687,110732567,72006720,116541519,65802788,647527,41769510,41963297,32648872,50498543,14816558,2531,1486,242,495,524,564,706,1005,481,489,0,42,59,1862,1565,2377,1318,30,795,659,688,1141,384
